grupo,categoria,tipo_producto,titulo,pais,revista,ISSN,ano,vol,fasc,pags,autores
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Originalidad hebrea para el quehacer teológico,Colombia,Argumenta Biblica Theologica,2665-4369,2021,2,4,96 - 107,MANUEL DAVID GOMEZ ERAZONA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,"En las puertas del templo los pobres cantan Liturgias de la Paz y el conflicto desde Mt 21,12-17",Colombia,Argumenta Biblica Theologica,2665-4369,2020,1,2,6 - 24,MANUEL DAVID GOMEZ ERAZONA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Una justicia inspiradora,Colombia,Camino. Revista De Pensamiento Biblico,1794-8681,2018,6,6,4 - 5,MANUEL DAVID GOMEZ ERAZONA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,En tiempos como estos no hay cosa más práctica que la teología,Colombia,Camino. Revista De Pensamiento Biblico,1794-8681,2018,6,6,52 - 61,MANUEL DAVID GOMEZ ERAZONA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,El tiempo de la escritura,Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2018,N/A,N/A,139 - 151,"KELLY VARGAS GARCIA, ALEXANDER RODRIGUEZ BUSTAMANTE, ANA LUCIA CEBALLOS DUQUENA"
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,"Ser mujer y madre. Dolor, género y experiencia teologal en el caso de Christine Collins",Colombia,Camino. Revista De Pensamiento Biblico,1794-8681,2018,5,5,64 - 73,MANUEL DAVID GOMEZ ERAZONA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Volvemos al camino,Colombia,Camino. Revista De Pensamiento Biblico,1794-8681,2018,5,5,3 - 4,MANUEL DAVID GOMEZ ERAZONA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,La doctrina iglesia y la promoción integral del ser humano y sus relaciones con la naturaleza,Colombia,Revista Universidad Católica Luis Amigó,2590-7565,2017,1,N/A,33 - 46,JONNY ALEXANDER GARCIA ECHEVERRINA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Carta al subterráneo de Medellín: ¿Mancha negra y furia o jugada maestra¿ de Víctor Raúl Jaramillo Restrepo,Colombia,La vicentina,2590-7115,2017,1,N/A,61 - 63,DAVID ESTEBAN ZULUAGA MESANA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Novalis y la transfiguración del mundo. Genio y Naturaleza en el Romanticismo alemán,Colombia,El Fogón De Descartes,2339-3858,2016,3,,21 - 27,CARLOS ANDRES GALLEGO ARROYAVENA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Poética hegeliana: la poesía como expresión del espíritu en sí mismo y el papel del poeta,Colombia,Versiones,0327-9413,2016,9,,142 - 155,YULIETH ESTEFANIA RUIZ PULGARINNA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Acusación a la tragedia euripidea en la parábasis de Las Ranas de Aristófanes,Colombia,Revista Filosófica  Y Literaria Cazamoscas,1909-6704,2015,2,,42 - 52,CARLOS ANDRES GALLEGO ARROYAVENA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,"Poesía, Naturaleza y genio artístico: entre la Grecia clásica y el Romanticismo alemán",Colombia,Cuadrante Phi,1657-4893,2015,28,,1 - 15,CARLOS ANDRES GALLEGO ARROYAVENA
FILOSOFIA Y TEOLOGIA CRITICA,Otros artículos publicados,Revista de divulgación,Aristófanes y el ocaso de una ideología,Chile,Revista Zétesis,0719-5214,2015,1,,37 - 46,CARLOS ANDRES GALLEGO ARROYAVENA
