grupo,categoria,tipo_producto,titulo,pais,revista,ISSN,ano,vol,fasc,pags,autores
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,E-Salud una ventana abierta a la prevención de las adicciones.,Colombia,MEMORIAS CIMTED,2500-5987,2017,1,"NA",1 - 12,"SANDRA MILENA RESTREPO ESCOBAR, EDWIN ANDRES SEPULVEDA CARDONANA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,"Desarrollo de conductas prosociales, la clave para la prevención de prácticas de riesgo en adolescentes.",Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2016,1,,221 - 224,SANDRA MILENA RESTREPO ESCOBARNA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Periódico de noticias,El síndrome amotivacional en consumidores de marihuana,Colombia,Encuentro Nacional De Investigación Memorias,2463-0004,2015,18,,130 - 140,SANDRA MILENA RESTREPO ESCOBARNA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Reacreditación del programa de psicología: una propuesta de calidad en clave Funlam.,Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2014,27,27,1 - 14,"ALEXANDER RODRIGUEZ BUSTAMANTE, LUZ MARINA ARANGO GOMEZNA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Petro y ¿centros de consumo controlado¿: el enfoque de la reducción de daños,Colombia,Razón Pública,2145-0439,2012,1,,1 - 2,GUILLERMO ALONSO CASTANO PEREZNA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,"Desde febrero se estudia en Medellín el fenómeno ¿Barras, consumo de drogas y violencia¿",Colombia,Noticiero Hora 13 Teleantioquia,1458-1234,2012,1,,1 - 1,GUILLERMO ALONSO CASTANO PEREZNA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,La psicología dinámica en el tratamiento de la farmacodependencia: conceptualización y metodología en consulta privada e institucional,Colombia,Poiésis: Revista Electrónica de Psicología Social,1692-0945,2011,11,,20 -,OSCAR DARIO BOHORQUEZ MARINNA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Otros artículos publicados,Revista de divulgación,Desarrollo humano como constructo conceptual y de acción para la prevención integral,Colombia,Revista electronica de psicología del programa de psicología con énfasis en psicología socioal de la Fundacion Universitaria Luis Amigó,0,2002,,,-,"ANGELA MARIA PARRA BASTIDAS, GUILLERMO CASTANO PEREZ, GUSTAVO ADOLFO CALDERON VALLEJONA"
AYELEN,Otros artículos publicados,Periódico de noticias,"Relación entre rasgos de personalidad, toma de decisiones y la permanencia académica",Colombia,Revista Virtual Universidad Católica Del Norte,0124-5821,2022,65,,263 - 283,ROLAN CORREA LOPEZNA
AYELEN,Otros artículos publicados,Revista de divulgación,"Salud mental, bienestar e inclusión social en personas adultas habitantes de calle",Perú,REVISTA DE INVESTIGACION CIENTIFICA PURIQ,2707-3602,2021,3,,686 - 708,VIVIANA CARMENZA AVILA NAVARRETENA
AYELEN,Otros artículos publicados,Revista de divulgación,Percepción de la permanencia académica en una muestra de estudiantes universitarios en República Dominicana,República Dominicana,UCE Ciencia Revista de postgrado,2306-3556,2021,9,2,1 - 7,ROLAN CORREA LOPEZNA
AYELEN,Otros artículos publicados,Revista de divulgación,Percepción de padres y evaluadores de pacientes con déficit cognitivo frente a los procesos clínicos de evaluación y diagnóstico,Colombia,Revista Iberoamericana de Neuropsicología,2594-1178,2020,3,1,46 - 46,ROLAN CORREA LOPEZNA
AYELEN,Otros artículos publicados,Revista de divulgación,El Rol del Profesorado en el Manejo de la Violencia Escolar,Colombia,Via Inveniendi Et Iudicandi Revista Virtual,1909-0528,2014,9,"NA",51 - 73,"SANDRA LUZ CASTRO LESMES, MARIELA INES SANCHEZ CARDONANA"
AYELEN,Otros artículos publicados,Revista de divulgación,Vinculos psicosociales el servidor policial,Colombia,Magazín  Policía Nacional,2215-8980,2009,5,,6 - 8,BENILDA LAYNE BERNALNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"Ecoturismo, ronda del Sinú, rio Sinú y cienagas contaminados",Colombia,(1692-5752) El Meridiano de Cordoba,1692-5752,2021,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"A proposito, qué significa la palabra Minga",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"Reabrir el comercio en plena pandemia, no es reactivar la economía del país",,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"Reabrir el comercio en plena pandemia, no es reactivar la economía del país",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Las noticias políticas reprobables deben tomare como profundización democrática,Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"Insisto, vamos a necesitar una identidad cultural capaz de crear nacionalismo colombiano",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"La Ideologías, en conmemoración a la Batalla de Boyacá",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"La Lógica , ente todo",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"Nacionalismo y Nacionalista, en conmemoración a nuestra independencia",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"Nacionalismo y Nacionalista, en conmemoración a nuestra independencia",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"¿Para hacer un pacto nacional, hay que montar un nuevo gobierno?",Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Aumentar anualmente el salario mínimo constituye Justicia Social?,Colombia,El Meridiano de Cordoba,1692-5752,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Contextualización del caso Uber,Colombia,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Empezó el 2020 en materia tributaria con justicia social?,Colombia,El Meridiano de Cordoba,1692-5752,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Las formalidades legales en el Derecho colombiano,,El Meridiano De Cordoba,0122-2805,2020,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,La etiología del paro,Colombia,El Meridiano de Cordoba,1692-5752,2019,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,"Cinismo, qué significa",Colombia,El Meridiano de Cordoba,1692-5752,2019,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"La Abogacía en Colombia, como estamento es bastante responsable de la corrupción",Colombia,El Meridiano de Cordoba,1692-5752,2019,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"No existe la ""coincidencia"" sino ""Diosidencia"" o ""diablocidencia""",Colombia,El Meridiano De Cordoba,0122-2805,2019,1,,5 - 5,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,El porte legal de armas para civi¬les en Colombia,Colombia,El Meridiano de Cordoba,1692-5752,2019,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,Se requiere primero economía formal para requerir urbanidad en las calles,Colombia,El Meridiano de Cordoba,1692-5752,2019,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,XIII Encuentro de la Jurisdicción Constitucional,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"Políticas públicas, a propósito de los 100 días de Duque",Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,¿Financiamien¬to o neolibera¬lismo?,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,La alternativa es la no adopción de po¬líticas neoliberales,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,La Reforma a la Justicia propues¬ta por el Gobierno y el CD,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"El CNE, a propósito que negó la personería de Colombia Humana",Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,El artículo 235 de la Constitu¬ción de 1991,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"El voto como acción social, debe ser racional",Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Ciencia y política,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,Los debates presidenciales son una falacia,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,El abstencio¬nismo electoral,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,El voto no es la solución,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,El nepotismo en los cargos de elección popular,Colombia,El Meridiano de Cordoba,1692-5752,2018,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,Caníbales en pleno siglo XXI,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Documental Social Participativo: Una estrategia para el desarrollo de competencias comunicativas en estudiantes de la zona rural,Colombia,Assensus,2619-3884,2017,2,3,54 - 67,HUBER YECID CASTRO ESCOBARNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"En reemplazo de las elecciones, cómo lograr un cambio",Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"Política, democracia y partidos políticos",Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,El derecho a no tener partidos políticos,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,Nueva ley que aumenta castigo a delitos electorales,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"La vivienda digna, a propósito de la ola invernal",Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,La mujer cabeza de familia,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,Qué es el libre desarrollo de la personalidad,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,La enseñanza moral de la riqueza como política penitenciaria,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,El perfil del trabajador social en la construcción de paz desde una cultura ambiental El perfil del trabajador social en la construcción de paz desde una cultura ambiental,Panamá,ORATORES,2410-8928,2017,4,5,171 - 192,LIVIA DIAZ GONZALEZNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"Corrupción, moralidad administrativa y la acción popular",Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,La Guerra y el Derecho Internacional Humanitario,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,La segunda instancia como garantía procesal para los congresistas,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"El razonamiento judicial, a propósito del caso Colmenares",Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Edu-entretenimiento: estrategia comunicativa para la intervención de la drogadicción en los estudiantes de la Institución Educativa El Carito mediante una ruta metodológica para la construcción de Documentales Sociales Participativos (D.S.P.),Colombia,Acta Scientia Informática,2619-2659,2017,1,,41 - 51,HUBER YECID CASTRO ESCOBARNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"El debido proceso, a propósito de la ley de delitos menores",Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,La dignidad humana y la política,Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"Deserción escolar, pobreza y embarazo, ¿cuál es la causa?",Colombia,El Meridiano de Cordoba,1692-5752,2017,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,". La privatización, a propósito del tema de Electricaribe",Colombia,El Meridiano de Cordoba,1692-5752,2016,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"El tributo, a propósito de la reforma tributaria",Colombia,El Meridiano de Cordoba,1692-5752,2016,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"¿Será necesaria una jurisdicción especial de paz, en el acuerdo con las Farc?",Colombia,El Meridiano de Cordoba,1692-5752,2016,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Columna de opinión,"A propósito del fallo del tribunal de Estrasburgo: ""no existe derecho al matrimonio gay"".",Colombia,El Meridiano de Cordoba,1692-5752,2016,1,,1 - 1,CARLOS RODRIGUEZ SANTOSNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,MOVIMIENTO INFANTIL SEMBRADORES DE PAZ. PROCESOS DE REINVENCIÓN SOCIAL EN CONTEXTOS DE POSCONFLICTO,Colombia,Revista Boletín Redipe,2266-1536,2016,5,11,95 - 108,"VICTOR TERAN REALES, LAURA CRISTINA TERAN SIMANCASNA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,"LA POLÍTICA DE INTEGRACIÓN LATINOAMERICANA DURANTE LA PRESIDENCIA DE CARLOS ANDRÉS PÉREZ (1974-1979). MOTIVOS, FUNDAMENTO LEGAL E INICIATIVAS.",Venezuela,Revista Venezolana De Ciencia Y Tecnologia Revecitec,2343-5798,2015,3,1,39 - 63,"ANDREINA DEL VALLE CHIQUITO RIVERO, ESTELIO JOSE ANGULONA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Moñitos Estampa de un pueblo afrocribeño cordobes,Colombia,Interlocuciones Desde La Funlam / Fundacion Universitaria Luis Amigo,0124-4051,2011,1,,36 - 38,MERY RAQUEL CARDONA OVIEDONA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Los Afrodescendientes de Córdoba,Colombia,Documentos Para La Reflexion,1909-0676,2009,5,,72 - 79,"MERY RAQUEL CARDONA OVIEDO, JOSE DOLORES COGOLLO JIMENEZNA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,"La economía informal cordobesa, signo de un modelo de desarrollo ineficiente y excluyente",Colombia,Interacción: Revista de Comunicación Educativa,1909-5988,2009,50,,1 - 3,MIGUEL EFREN GARCES PRETTELNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,EL PAPEL PROTAGÒNICO DE LA FUNLAM EN LA CONSTRUCCION DE CULTURA AMBIENTAL,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó,0123-9864,2008,11,,39 - 51,VICTOR TERAN REALESNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Modulo de psicologia de la salud para enfermeras,Colombia,revista  eco,1743-7134,2008,xx,,3 - 7,MARLON ANTONIO ARRIETA ALMARIONA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Eduardo Nieto Arteta y la nueva lectura de la historia de Colombia,Colombia,Magazin del Caribe,1459-1550,2007,10,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,José Francisco Socarrás y la Educación en Colombia,Colombia,Magazin del Caribe,1459-1550,2006,6,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,"La Investigación Acción Participativa, un proyecto de vida",Colombia,Magazin del Caribe,1459-1550,2006,5,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Informe final de Gestión del proyecto CAEC,Colombia,Informe Final de Gestión proyecto CAEC,9789584402,2006,,,8 - 32,VICTOR TERAN REALESNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Cultura y Sinuanología,Colombia,Magazin del Caribe,1459-1550,2005,3,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,La Multiculturalidad Ayer y Hoy,Colombia,Magazin del Caribe,1459-1550,2005,2,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,LA FUNLAM AL SERVICIO DE LA FORMACION INTEGRAL DEL SER HUMANO EN LA REGION DE CORDOBA,Colombia,REVISTA FUNDACION UNIVERSITARIA LUIS AMIGÓ,0123984,2005,,,105 - 111,"VICTOR TERAN REALES, MIRID SORNOZA ARGUMEDONA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,La Cátedra de Estudios Afrocolombianos y la etnoeducación,Colombia,Magazin del Caribe,1459-1550,2004,1,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,REFLEXIONES EN TORNO A LAS PRACTICAS EVALUATIVAS Y MANEJO DEL PORTAFOLIO DE DESEMPEÑO EN LA FUNLAM,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó,0123-9864,2004,,,47 - 53,VICTOR TERAN REALESNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,La Dimensión Pedagógica de la Etnoeducación,Colombia,De...Partir / Fundación Colombiana De Tiempo Libre Y Recreación Funlibre,0124-0455,2002,1,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Críterios y Carácterísticas Inherentes a la formación permanente de los profesionales en Educación,Colombia,Avance Investigativo,0123-6288,2002,19,,6 - 8,"JOAQUIN JOSE ROJANO DE LA HOZ, LUIS CARLOS PACHECO LORANA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Fundamentación Pedagógica de los programas en Educación,Colombia,Educación Y Universidad,0123-5508,2000,1 - 4,,19 - 32,"JOAQUIN JOSE ROJANO DE LA HOZ, LUIS CARLOS PACHECO LORANA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,"Los Orígenes de Moñitos, amor de negros que cuentan los Abuelos",Colombia,Proyección Investigativa - Universidad De Córdoba Ciuc,0121-3245,1999,5,,129 - 144,"JOAQUIN JOSE ROJANO DE LA HOZ, MERY CARDONA OVIEDONA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Pautas para el Avance de la Estructura Curricular según Núcleos de formación Básica pedagógica,Colombia,Educación Y Universidad,0123-5508,1999,1 - 3,,7 - 15,"JOAQUIN JOSE ROJANO DE LA HOZ, LUIS CARLOS PACHECO LORANA"
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,El tipo Ideal del Perfil Profesional Docente,Colombia,Educación Y Universidad,0123-5508,1998,1 - 2,,16 - 22,JOAQUIN JOSE ROJANO DE LA HOZNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,La Cátedra de Estudios Afrocolombianos,Colombia,Periodico Costa Alternativa,1458-1549,1997,1,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Educación y Multiculturalidad,Colombia,Periodico Costa Alternativa,1458-1549,1997,1,,1 -,ALBERTO GOMEZ MARTINEZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Cómo construir el Futuro,Colombia,Revista Institucional Unicordoba,0122-0276,1997,9,,55 - 62,JOAQUIN JOSE ROJANO DE LA HOZNA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,Una instanea del estado conyugal en Córdoba,Colombia,Avance Investigativo,0123-6288,1997,5,,1 - 2,MERY RAQUEL CARDONA OVIEDONA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,Colombia y su desarrollo,Colombia,El Meridiano De Cordoba,0122-2805,1996,,,5a - 6a,MERY RAQUEL CARDONA OVIEDONA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,La ciudadania,Colombia,El Meridiano De Cordoba,0122-2805,1996,,,5a - 6a,MERY RAQUEL CARDONA OVIEDONA
CALIDAD DE VIDA,Otros artículos publicados,Periódico de noticias,El parentesco fuente de respaldo al individuo,Colombia,El Meridiano De Cordoba,0122-2805,1996,,,5a - 6a,MERY RAQUEL CARDONA OVIEDONA
CALIDAD DE VIDA,Otros artículos publicados,Revista de divulgación,"Moñitos, Tierra de Paz Belleza y Alegría",Colombia,Mar Abierto,0,1996,1,,14 - 15,MERY RAQUEL CARDONA OVIEDONA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Periódico de noticias,Conciencia emocional y roles del bullying en un grupo de estudiantes pertenecientes a una institución educativa de la ciudad de Manizales,Colombia,Revista Tempus Psicológico,2619-6336,2021,4,2,13 - 27,"PAOLA ANDREA CARMONA TORO, ANYERSON STITHS GOMEZ TABARESNA"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,"Mental hygiene, social turn of psychiatry and incorporation of mental health in the public agenda in Ibero-America, first half of the 20th century",Chile,Praxis y Cultura Psi,1717-473X,2020,34,1,21 - 39,JAIRO GUTIERREZ AVENDANONA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,"Diversidad funcional, emergente de un enfoque de derechos y autodeterminación",Colombia,Revista Tempus Psicológico,2619-6336,2020,3,,157 - 171,SANDRA ISABEL MEJIA ZAPATANA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,Rostros de paz: Actores sociales que gestionan la construcción de paz en la ciudad de Medellín,Colombia,Novum,0121-5698,2020,10,1,81 - 99,HEIDI SMITH PULIDO VARONNA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,"Darle cuerpo a lo no patológico: estigmas de degeneración atribuidos a la locura en Colombia, finales del siglo XIX y principios del XX",Colombia,Corpo-grafías: estudios críticos de y desde los cuerpos,2390-0288,2020,7,1,239 - 247,JAIRO GUTIERREZ AVENDANONA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,Representaciones sociales del minero en el Bajo Cauca Antioqueño: construcciones subjetivas de un lugar en disputa,Ecuador,Religacion. Revista de Ciencias Sociales y Humanidades,2477-9083,2019,4,22,36 - 42,"HEIDI SMITH PULIDO VARON, NICOLASA MARIA DURAN PALACIONA"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,"Representaciones sociales del minero en el Bajo Cauca Antioqueño: construcciones subjetivas de un lugar en disputa""",Ecuador,Religacion. Revista de Ciencias Sociales y Humanidades,2477-9083,2019,4,22,36 - 42,HEIDI SMITH PULIDO VARONNA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,Perfil Emocional de las Personas con VIH.,México,Revista Electrónica De Psicología Iztacala,1870-8420,2019,22,2,1024 - 1046,JOHN JAIRO GARCIA PENANA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,"Red Iberoamericana de Historia de la Psiquiatría, una década integrando saberes y críticas, 2008-2018",Colombia,Revista Salus Historia De La Salud,2463-0519,2018,3,1,74 - 78,"ALVARO LEON CASAS ORREGO, JAIRO GUTIERREZ AVENDANONA"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Otros artículos publicados,Revista de divulgación,Los muros plásticos del hospital mental. Una historia visual de la locura en la modernidad,Colombia,Corpo-grafías: estudios críticos de y desde los cuerpos,2390-0288,2018,5,5,160 - 173,JAIRO GUTIERREZ AVENDANONA
