nombre_revista,clasificacion,ano,ISSN
Cuadernos De Vivienda Y Urbanismo,C,2017,20272103
Universitas Psychologica,B,2017,16579267
Universitas Humanística,B,2018,01204807
Signo Y Pensamiento,B,2018,01204823
Ambiente Y Desarrollo,C,2017,01217607
Universitas Humanística,B,2017,01204807
Fronteras De La Historia,C,2017,20274688
Aglala,B,2018,22157360
Colombian Applied Linguistics Journal,B,2018,01234641
How,C,2018,01205927
Discusiones Filosóficas,C,2017,01246127
Latinoamericana De Estudios Educativos,B,2018,19009895
Jurídicas,C,2018,17942918
Reflexión Política,B,2017,01240781
Ciencia Y Cuidado,B,2018,17949831
Revista Respuestas,C,2018,0122820X
Uis Ingenierías,C,2018,16574583
Ion,C,2018,0120100X
Informes Psicológicos,C,2018,21453535
Persona Y Bioética,C,2017,01233122
Educación Y Educadores,B,2017,01231294
Revista Internacional De Cooperación Y Desarrollo,C,2017,23825014
Psychologia. Avances De La Disciplina,B,2017,19002386
Cuadernos De Lingüística Hispánica,C,2017,0121053X
Revista Facultad De Ingeniería,C,2017,01211129
Historia Y Espacio,B,2017,01204661
Cs,B,2017,20110324
Jangwa Pana,C,2018,16574923
Pensando Psicologia,C,2018,19003099
Tecno Lógicas,B,2018,01237799
Tecno Lógicas,B,2017,01237799
Revista Eia,B,2018,17941237
Opinión Jurídica,C,2018,16922530
Anagramas : Rumbos Y Sentidos De La Comunicación,C,2017,16922522
Revista Kavilando,C,2017,20272391
Mutatis Mutandis. Revista Latinoamericana De Traducción.,B,2018,2011799X
Mutatis Mutandis. Revista Latinoamericana De Traducción.,B,2017,2011799X
Estudios De Literatura Colombiana,B,2017,01234412
Ingeniería Y Ciencia,B,2017,17949165
Co-Herencia,A2,2017,17945887
Luciernaga : Revista Virtual,C,2017,20271557
Entramado,B,2018,19003803
Producción + Limpia,C,2018,19090455
Revista Colombiana De Ciencias Hortícolas,B,2017,20112173
Revista Colombiana De Cardiología,C,2018,01205633
Economicas Cuc,C,2017,01203932
Revista Criminalidad,B,2017,17943108
Antípoda : Revista De Antropología Y Arqueología,B,2017,19005407
Revista Derecho Del Estado,A2,2017,01229893
Revista Facultad De Ciencias Básicas,C,2018,19004699
Historelo : Revista De Historia Regional Y Local,C,2017,2145132X
"Innovar, Revista De Ciencias Administrativas Y Sociales",C,2018,01215051
Revista Colombiana De Ciencias Químico Farmacéuticas,B,2018,00347418
Agronomía Colombiana,B,2017,01209965
Análisis Político,A1,2018,01214705
Acta Agronómica,C,2017,01202812
Análisis Político,A1,2017,01214705
Investigaciones Andina,B,2017,01248146
Revista Latinoamericana De Psicología,A2,2018,01200534
Finanzas Y Política Económica,B,2018,22486046
Vitae,B,2017,01214004
Investigación En Enfermería :Imagen Y Desarrollo,C,2018,01242059
Signo Y Pensamiento,B,2017,01204823
Cuadernos De Literatura,C,2017,01228102
Memoria Y Sociedad,B,2017,01225197
Revista Gerencia Y Políticas De Salud,C,2017,16577027
Revista Escuela De Administración De Negocios,B,2018,01208160
"Tea Tecné, Episteme Y Didaxis",B,2018,01213814
Revista Colombiana De Educación,B,2017,01203916
Desafíos,C,2017,01244035
Suma De Negocios,B,2018,2215910X
Revista Colombiana De Antropología,B,2017,04866525
Diversitas : Perspectivas En Psicología,B,2018,17949998
Colombia Forestal,C,2018,01200739
Enunciación,C,2017,01226339
Revista Colombiana De Entomología,C,2017,01200488
Revista Virtual Universidad Católica Del Norte,B,2018,01245821
Nomadas,B,2017,01217550
"Ct&F Ciencia, Tecnología Y Futuro",B,2017,01225383
Psicología Desde El Caribe,B,2018,20117485
Revista De Derecho,B,2017,01218697
Latinoamericana De Estudios Educativos,B,2017,19009895
Entre Ciencia E Ingenieria,C,2018,19098367
Reflexión Política,B,2018,01240781
Revista Colombiana De Tecnologías De Avanzada,C,2018,16927257
Uis Ingenierías,C,2017,16574583
Revista Facultad De Derecho Y Ciencias Políticas,B,2018,01203886
Palabra Clave,A2,2017,01228285
Educación Y Educadores,B,2018,01231294
Psychologia. Avances De La Disciplina,B,2018,19002386
El Ágora Usb,B,2017,16578031
Revista De Investigacion Agraria Ambiental,C,2017,21456097
Revista Historia De La Educación Latinoamericana,B,2018,01227238
Praxis & Saber,C,2018,22160159
Colombia Médica,A2,2017,16579534
Cuadernos De Administración,B,2018,01204645
Historia Y Espacio,B,2018,01204661
Colombia Médica,A2,2018,16579534
Estudios Gerenciales,B,2018,01235923
Informador Tecnico,C,2018,0122056X
Duazary,B,2018,17945992
Revista Colombiana De Ciencias Sociales,B,2017,22161201
Lámpsakos,C,2017,21454086
Estudios De Filosofía,C,2017,01213628
Revista Interamericana De Bibliotecología,B,2018,01200976
Vitae,B,2018,01214004
Estudios Políticos,B,2017,01215167
Lecturas De Economía,B,2017,01202596
Ad-Minister Revista Escuela De Administración,B,2017,16920279
Revista Ces Psicología,B,2017,20113080
"Saber, Ciencia Y Libertad",B,2017,17947154
Criterio Libre,B,2018,19000642
Revista Lasallista De Investigación,C,2017,17944449
Revista Colombiana De Ciencias Hortícolas,B,2018,20112173
Economicas Cuc,C,2018,01203932
Tecciencia,C,2018,19093667
Revista De Estudios Sociales,B,2018,0123885X
Colombia Internacional,B,2017,01215612
Revista De Derecho Privado,C,2018,01234366
Revista De Educación En Ingeniería,C,2018,19008260
Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,B,2018,01216805
Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,B,2018,16574702
"Revista De Relaciones Internacionales, Estrategia Y Seguridad",B,2018,19093063
Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,B,2017,01216805
Ciencia E Ingeniería Neogranadina,B,2017,01248170
Equidad & Desarrollo,C,2018,16927311
Bitácora Urbano Territorial,C,2017,01247913
Revista Cuadernos De Economía,B,2018,01214772
Revista Colombiana De Estadística,B,2017,01201751
Agronomía Colombiana,B,2018,01209965
Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,B,2017,01200011
Acta Agronómica,C,2018,01202812
Earth Sciences Research Journal,B,2018,17946190
Revista Colombiana De Matemáticas,C,2018,00347426
Historelo : Revista De Historia Regional Y Local,C,2018,2145132X
Revista Colombiana De Biotecnología,B,2018,01233475
Revista Facultad Nacional De Agronomía - Medellín,B,2017,03042847
Revista Colombiana De Psicología,C,2017,01215469
Investigaciones Andina,B,2018,01248146
Revista U.D.C.A. Actualidad & Divulgación Científica,B,2017,01234226
"Revista Científica ""General José María Córdova""",C,2017,19006586
Investigación En Enfermería :Imagen Y Desarrollo,C,2017,01242059
Universitas Scientiarum,A2,2017,01227483
Revista Colombiana De Bioética,C,2017,19006896
Revista Colombiana De Educación,B,2018,01203916
Folios,B,2018,01234870
Suma Psicológica,B,2018,01214381
Suma De Negocios,B,2017,2215910X
"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",B,2017,03703908
Revista Colombiana De Antropología,B,2018,04866525
Revista Republicana,C,2018,19094450
Palobra Palabra Que Obra,B,2017,16570111
Panorama Económico,B,2018,01228900
Hallazgos,B,2018,17943841
Diversitas : Perspectivas En Psicología,B,2017,17949998
Colombia Forestal,C,2017,01200739
Visión Electrónica: Algo Más Que Un Estado Sólido,C,2017,19099746
Revista Científica,C,2018,01242253
Revista Colombiana De Psiquiatría,C,2017,00347450
Revista Urologia Colombiana,C,2017,0120789X
Tabula Rasa,B,2017,17942489
Scientia Et Technica,B,2017,01221701
Eleuthera,C,2017,20114532
Boletín Científico Del Museo De Historia Natural,A2,2018,01233068
Eleuthera,C,2018,20114532
Revista Luna Azul,C,2018,19092474
Kepes,A2,2018,17947111
Ciencia Y Cuidado,B,2017,17949831
Dikaion - Lo Justo,C,2017,01208942
Palabra Clave,A2,2018,01228285
Persona Y Bioética,C,2018,01233122
International Journal Of Psychological Research,C,2017,20117922
Revista De Investigacion Agraria Ambiental,C,2018,21456097
Apuntes Del Cenes,B,2018,01203053
Lenguaje,C,2018,01203479
Ingeniería Y Competitividad,C,2017,01233033
Universidad Y Salud,C,2017,01247107
Universidad Y Salud,C,2018,01247107
Civilizar,C,2018,16578953
Ingenieria Solidaria,C,2017,19003102
Orinoquia,C,2017,01213709
"Trilogía. Ciencia, Tecnologia Y Sociedad",C,2017,21454426
Revista Ingenierías Universidad De Medellín,B,2018,16923324
Semestre Económico,B,2018,01206346
Trashumante,A2,2018,23229381
Revista Interamericana De Bibliotecología,B,2017,01200976
Revista Facultad De Ingeniería,B,2017,01206230
Co-Herencia,A2,2018,17945887
Ingeniería Y Ciencia,B,2018,17949165
Ces Medicina,C,2018,22159177
Revista Cuidarte,C,2018,22160973
Inge-Cuc,B,2018,01226517
Prospectiva,C,2017,16928261
Revista Colombiana De Obstetricia Y Ginecología,C,2017,00347434
Tecciencia,C,2017,19093667
Revista De Economía Institucional,B,2018,01245996
Revista De Derecho Privado,C,2017,01234366
Ciencia E Ingeniería Neogranadina,B,2018,01248170
Revista Colombiana De Biotecnología,B,2017,01233475
Revista De Salud Pública,C,2018,01240064
Revista Colombiana De Anestesiología,B,2018,01203347
Revista Colombiana De Estadística,B,2018,01201751
Ingeniería E Investigación,B,2018,01205609
Revista Colombiana De Sociología,C,2017,0120159X
Infectio,B,2018,01239392
Biomédica,A2,2017,01204157
Acta Médica Colombiana,C,2017,01202448
Ingeniería Y Universidad,C,2018,01232126
"Cuadernos De Música, Artes Visuales Y Artes Escénicas",C,2018,17946670
Theologica Xaveriana,B,2018,01203649
Magis - Revista Internacional De Investigación En Educación,C,2018,20271174
Cuadernos De Vivienda Y Urbanismo,C,2018,20272103
Pedagogía Y Saberes,B,2018,01212494
Pedagogía Y Saberes,B,2017,01212494
Revista Universidad Y Empresa,B,2017,01244639
Fronteras De La Historia,C,2018,20274688
Palobra Palabra Que Obra,B,2018,16570111
Hallazgos,B,2017,17943841
Vínculos,C,2018,1794211X
Ingenieria Y Desarrollo,C,2017,21459371
Ingenieria Y Desarrollo,C,2018,21459371
"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",B,2017,1692715X
Kepes,A2,2017,17947111
Bistua : Revista  De La Facultad De Ciencias Básicas,C,2017,01204211
Salud Uis,C,2018,01210807
Revista Facultad De Derecho Y Ciencias Políticas,B,2017,01203886
Escritos,C,2018,01201263
Aquichan,C,2018,16575997
Aquichan,C,2017,16575997
Revista Internacional De Cooperación Y Desarrollo,C,2018,23825014
Perspectiva Geográfica,C,2017,01233769
Duazary,B,2017,17945992
Orinoquia,C,2018,01213709
Anagramas : Rumbos Y Sentidos De La Comunicación,C,2018,16922522
Semestre Económico,B,2017,01206346
Revista Colombiana De Ciencias Sociales,B,2018,22161201
Lámpsakos,C,2018,21454086
Revista Psicogente,C,2018,01240137
Revista Facultad De Odontología,B,2017,0121246X
Revista Colombiana De Ciencias Pecuarias,B,2018,01200690
Revista Facultad Nacional De Salud Publica,C,2018,0120386X
Revista Facultad Nacional De Salud Publica,C,2017,0120386X
Revista Ces Psicología,B,2018,20113080
Revista Politecnica,C,2017,19002351
Luciernaga : Revista Virtual,C,2018,20271557
Academia & Derecho,B,2017,22158944
Criterio Libre,B,2017,19000642
Revista Avancesinvestigacion En Ingenieria,C,2018,17944953
"Saber, Ciencia Y Libertad",B,2018,17947154
Revista Pensamiento Americano,C,2018,20272448
Revista Logos Ciencia 6& Tecnologia,B,2017,2145549X
Educación Y Ciudad,B,2018,01230425
Revista De Estudios Sociales,B,2017,0123885X
Historia Crítica,C,2017,01211617
"Revista De Relaciones Internacionales, Estrategia Y Seguridad",B,2017,19093063
Caldasia,B,2018,03665232
Gestión Y Ambiente,C,2017,0124177X
Revista Cuadernos De Economía,B,2017,01214772
Caldasia,B,2017,03665232
Ensayos De Economía,C,2018,0121117X
Anuario Colombiano De Historia Social,A2,2018,01202456
Profile,B,2018,16570790
Revista U.D.C.A. Actualidad & Divulgación Científica,B,2018,01234226
Revista Latinoamericana De Psicología,A2,2017,01200534
Revista De Arquitectura,B,2017,16570308
Cuadernos De Desarrollo Rural,B,2017,01221450
Cuadernos De Desarrollo Rural,B,2018,01221450
Pensamiento Psicológico,B,2017,16578961
Revista Escuela De Administración De Negocios,B,2017,01208160
Revista Colombiana De Bioética,C,2018,19006896
Estudios Socio-Jurídicos,B,2018,01240579
Territorios,B,2017,01238418
Revista Universidad Y Empresa,B,2018,01244639
Panorama Económico,B,2017,01228900
Aglala,B,2017,22157360
Cuadernos De Filosofía Latinoamericana,C,2017,01208462
Vínculos,C,2017,1794211X
Revista Urologia Colombiana,C,2018,0120789X
Revista De Derecho,B,2018,01218697
Eidos,C,2017,20117477
Salud Uninorte,C,2017,20117531
Jurídicas,C,2017,17942918
Boletín Científico Del Museo De Historia Natural,A2,2017,01233068
Revista Luna Azul,C,2017,19092474
Hacia La Promoción De La Salud,B,2018,01217577
Hacia La Promoción De La Salud,B,2017,01217577
Entre Ciencia E Ingenieria,C,2017,19098367
Bistua : Revista  De La Facultad De Ciencias Básicas,C,2018,01204211
Revista Corpoica,C,2017,01228706
Ion,C,2017,0120100X
Anuario De Historia Regional Y De Las Fronteras,C,2018,01222066
International Journal Of Psychological Research,C,2018,20117922
Livestock Research For Rural Development,C,2017,01213784
Informador Tecnico,C,2017,0122056X
Jangwa Pana,C,2017,16574923
Civilizar,C,2017,16578953
Revista Facultad De Ingeniería,B,2018,01206230
Estudios Políticos,B,2018,01215167
Lecturas De Economía,B,2018,01202596
Estudios De Literatura Colombiana,B,2018,01234412
Revista Avancesinvestigacion En Ingenieria,C,2017,17944953
Revista Cuidarte,C,2017,22160973
Producción + Limpia,C,2017,19090455
Revista Pensamiento Americano,C,2017,20272448
Educación Y Ciudad,B,2017,01230425
Desarrollo Y Sociedad,C,2018,01203584
Turismo Y Sociedad,C,2017,01207555
Revista De Economía Institucional,B,2017,01245996
Revista Facultad De Ciencias Básicas,C,2017,19004699
Equidad & Desarrollo,C,2017,16927311
Earth Sciences Research Journal,B,2017,17946190
Revista De Salud Pública,C,2017,01240064
Avances De Enfermería,C,2018,01214500
Revista Colombiana De Psicología,C,2018,01215469
Dyna,A2,2018,00127353
Revista Colombiana De Química,C,2018,01202804
Cuadernos De Geografía,B,2018,0121215X
Revista Colombiana De Química,C,2017,01202804
Revista Colombiana De Gastroenterología,C,2017,01209957
Biomédica,A2,2018,01204157
"Gist, Education And Learning Research Journal",B,2018,16925777
Revista De Arquitectura,B,2018,16570308
"Cuadernos De Música, Artes Visuales Y Artes Escénicas",C,2017,17946670
Ambiente Y Desarrollo,C,2018,01217607
Vniversitas,C,2017,00419060
Theologica Xaveriana,B,2017,01203649
Memoria Y Sociedad,B,2018,01225197
Estudios Socio-Jurídicos,B,2017,01240579
"Anuario Electrónico De Estudios En Comunicación Social ""Disertarciones""",B,2017,18569536
Desafíos,C,2018,01244035
Territorios,B,2018,01238418
Suma Psicológica,B,2017,01214381
Cuadernos De Filosofía Latinoamericana,C,2018,01208462
Principia Iuris,C,2017,01242067
Infancias Imágenes,C,2018,16579089
Enunciación,C,2018,01226339
How,C,2017,01205927
Revista Colombiana De Entomología,C,2018,01200488
"Ct&F Ciencia, Tecnología Y Futuro",B,2018,01225383
Scientia Et Technica,B,2018,01221701
Salud Uninorte,C,2018,20117531
Memorias,C,2018,17948886
Ánfora,C,2018,01216538
Revista Corpoica,C,2018,01228706
Médicas Uis,C,2018,01210319
Médicas Uis,C,2017,01210319
Salud Uis,C,2017,01210807
Boletín De Geología,C,2017,01200283
Anuario De Historia Regional Y De Las Fronteras,C,2017,01222066
Revista Mvz Córdoba,B,2018,01220268
Revista Guillermo De Ockman,C,2017,1794192X
"Revista De Investigacion, Desarrollo E Innovacion",C,2018,20278306
Revista Latinoamericana De Etnomatemática,B,2018,20115474
Cs,B,2018,20110324
Estudios Gerenciales,B,2017,01235923
Ingenieria Solidaria,C,2018,19003102
"Trilogía. Ciencia, Tecnologia Y Sociedad",C,2018,21454426
Revista Ingenierías Universidad De Medellín,B,2017,16923324
Opinión Jurídica,C,2017,16922530
Estudios De Filosofía,C,2018,01213628
Revista Facultad De Odontología,B,2018,0121246X
Íkala,B,2018,01233432
Ad-Minister Revista Escuela De Administración,B,2018,16920279
Revista Ces Medicina Veterinaria Y Zootecnia,C,2018,19009607
Revista Politecnica,C,2018,19002351
Inge-Cuc,B,2017,01226517
Prospectiva,C,2018,16928261
Revista Logos Ciencia 6& Tecnologia,B,2018,2145549X
Revista Colombiana De Obstetricia Y Ginecología,C,2018,00347434
Colombia Internacional,B,2018,01215612
Bitácora Urbano Territorial,C,2018,01247913
Revista Colombiana De Matemáticas,C,2017,00347426
Revista Colombiana De Anestesiología,B,2017,01203347
"Innovar, Revista De Ciencias Administrativas Y Sociales",C,2017,01215051
Gestión Y Ambiente,C,2018,0124177X
Revista Facultad Nacional De Agronomía - Medellín,B,2018,03042847
Acta Biológica Colombiana,B,2018,0120548X
Dyna,A2,2017,00127353
Revista Colombiana De Ciencias Químico Farmacéuticas,B,2017,00347418
Anuario Colombiano De Historia Social,A2,2017,01202456
Avances De Enfermería,C,2017,01214500
Revista Colombiana De Gastroenterología,C,2018,01209957
"Gist, Education And Learning Research Journal",B,2017,16925777
"Revista Científica ""General José María Córdova""",C,2018,19006586
Vniversitas,C,2018,00419060
Cuadernos De Administración,B,2017,01203592
Cuadernos De Literatura,C,2018,01228102
Ingeniería Y Universidad,C,2017,01232126
Cuadernos De Administración,B,2018,01203592
Pensamiento Psicológico,B,2018,16578961
"Anuario Electrónico De Estudios En Comunicación Social ""Disertarciones""",B,2018,18569536
Revista Iteckne,C,2017,16921798
Principia Iuris,C,2018,01242067
Visión Electrónica: Algo Más Que Un Estado Sólido,C,2018,19099746
Revista Científica,C,2017,01242253
Revista Colombiana De Psiquiatría,C,2018,00347450
Revista Virtual Universidad Católica Del Norte,B,2017,01245821
Tabula Rasa,B,2018,17942489
Nomadas,B,2018,01217550
Psicología Desde El Caribe,B,2017,20117485
Eidos,C,2018,20117477
Journal De Ciencia E Ingenieria,C,2019,21452628
Discusiones Filosóficas,C,2020,01246127
Revista Corpoica,C,2019,01228706
Médicas Uis,C,2020,01210319
Salud Uis,C,2019,01210807
Revista Facultad De Derecho Y Ciencias Políticas,C,2019,01203886
Educación Y Educadores,B,2020,01231294
Educación Y Educadores,B,2019,01231294
Aquichan,C,2020,16575997
Revista Guillermo De Ockman,B,2019,1794192X
El Ágora Usb,B,2019,16578031
"Revista De Investigacion, Desarrollo E Innovacion",B,2020,20278306
La Palabra,B,2020,01218530
Revista Facultad De Ingeniería,B,2019,01211129
Apuntes Del Cenes,B,2020,01203053
Colombia Médica,B,2020,16579534
Sociedad Y Economía,B,2019,16576357
Informador Tecnico,C,2020,0122056X
Tropical Grasslands-Forrajes Tropicales,C,2019,23463775
Boletín De Investigaciones Marinas Y Costeras,B,2019,01229761
Ingenieria Solidaria,C,2020,19003102
Educacion Y Humanismo,B,2019,01242121
Justicia,B,2020,01247441
Revista Facultad De Ingeniería,B,2019,01206230
Uni-Pluriversidad,C,2019,16574249
Íkala,B,2020,01233432
Academia & Derecho,C,2020,22158944
"Saber, Ciencia Y Libertad",B,2020,17947154
Revista Cuidarte,B,2020,22160973
MUNDO FESC,C,2019,22160388
Cultura Educacion Y Sociedad,C,2020,21459258
Economicas Cuc,C,2019,01203932
Revista Pensamiento Americano,C,2020,20272448
Cuadernos De Literatura Del Caribe E Hispanoamérica,C,2019,17948290
Revista Via Iuris,C,2020,19095759
Tesis Psicologica,B,2019,19098391
Revista De Estudios Sociales,A2,2019,0123885X
Revista De Derecho Privado,B,2019,01234366
Revista Derecho Del Estado,C,2019,01229893
Ciencia E Ingeniería Neogranadina,B,2020,01248170
Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,B,2019,01202952
Revista Colombiana De Matemáticas,C,2019,00347426
Dyna,B,2020,00127353
Forma Y Función,C,2019,0120338X
Revista Cuadernos De Economía,C,2019,01214772
Revista Historia Y Sociedad,C,2019,01218417
Dyna,B,2019,00127353
Análisis Político,A2,2019,01214705
Gestión Y Ambiente,C,2019,0124177X
Revista Colombiana De Estadística,B,2020,01201751
Revista Colombiana De Anestesiología,B,2020,01203347
Revista Colombiana De Cancerología,C,2019,01239015
Acta Médica Colombiana,B,2020,01202448
Novum Jus: Revista Especializada en Sociología Jurídica y Política,C,2020,16926013
Acta Colombiana De Psicología,C,2019,01239155
Universitas Humanística,B,2019,01204807
Papel Político,C,2019,01224409
"Cuadernos De Música, Artes Visuales Y Artes Escénicas",C,2019,17946670
Signo Y Pensamiento,B,2020,01204823
Ambiente Y Desarrollo,C,2020,01217607
Memoria Y Sociedad,B,2019,01225197
Revista Gerencia Y Políticas De Salud,C,2019,16577027
Signo Y Pensamiento,B,2019,01204823
"Tea Tecné, Episteme Y Didaxis",C,2019,01213814
Via Inveniendi Et Iudicandi Revista Virtual,C,2020,19090528
Revista Interamericana De Investigación Educación Y Pedagogía,B,2020,1657107X
Colombian Applied Linguistics Journal,B,2020,01234641
Revista Colombiana De Reumatología,C,2019,01218123
Revista Urologia Colombiana,C,2019,0120789X
Revista Colombiana De Entomología,C,2019,01200488
"Aibi revista de investigación, administración e ingeniería",B,2020,2346030X
"Ct&F Ciencia, Tecnología Y Futuro",C,2020,01225383
Ingenieria Y Desarrollo,C,2019,21459371
Revista De Economía Del Caribe,C,2019,20112106
Latinoamericana De Estudios Educativos,C,2020,19009895
Revista Corpoica,C,2020,01228706
Médicas Uis,C,2019,01210319
Ion,C,2020,0120100X
Informes Psicológicos,C,2019,21453535
Ingenierias Usbmed,C,2019,20275846
Revista Guillermo De Ockman,B,2020,1794192X
El Ágora Usb,B,2020,16578031
Psychologia. Avances De La Disciplina,B,2019,19002386
Ciencia En Desarrollo,C,2019,01217488
Cuadernos De Administración,B,2020,01204645
Estudios Gerenciales,B,2019,01235923
Cs,B,2019,20110324
Informador Tecnico,C,2019,0122056X
Tropical Grasslands-Forrajes Tropicales,C,2020,23463775
Praxis,C,2019,16574915
Revista Colombiana De Ciencias Sociales,B,2019,22161201
Ciencia e Innovación en Salud,B,2019,23448636
Estudios Políticos,B,2020,01215167
Revista Interamericana De Bibliotecología,C,2020,01200976
Perspectivas En Nutrición Humana,C,2019,01244108
Perspectivas En Nutrición Humana,C,2020,01244108
Lecturas De Economía,B,2020,01202596
Trashumante,A2,2020,23229381
Co-Herencia,A2,2019,17945887
Co-Herencia,A2,2020,17945887
Ces Medicina,C,2019,22159177
Producción + Limpia,C,2019,19090455
Inge-Cuc,B,2020,01226517
Revista Logos Ciencia 6& Tecnologia,B,2019,2145549X
Revista Criminalidad,B,2019,17943108
Revista Colombiana De Cirugía,C,2020,20117582
Revista De Estudios Sociales,A2,2020,0123885X
Desarrollo Y Sociedad,C,2019,01203584
Revista De Economía Institucional,C,2019,01245996
Revista De Educación En Ingeniería,C,2020,19008260
Revista Facultad De Ciencias Básicas,C,2020,19004699
Revista Colombiana De Química,C,2020,01202804
Revista Colombiana De Sociología,C,2019,0120159X
Ideas Y Valores,B,2019,01200062
Revista Colombiana De Psicología,B,2020,01215469
Cuadernos De Geografía,B,2019,0121215X
Revista Colombiana De Química,C,2019,01202804
"Innovar, Revista De Ciencias Administrativas Y Sociales",C,2019,01215051
Agronomía Colombiana,C,2020,01209965
Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,B,2020,01202952
Revista Facultad Nacional De Agronomía - Medellín,C,2019,03042847
Historelo : Revista De Historia Regional Y Local,C,2020,2145132X
Revista Colombiana De Cancerología,C,2020,01239015
Revista U.D.C.A. Actualidad & Divulgación Científica,B,2020,01234226
Biomédica,B,2019,01204157
Biomédica,B,2020,01204157
"Revista Científica ""General José María Córdova""",C,2019,19006586
Novum Jus: Revista Especializada en Sociología Jurídica y Política,C,2019,16926013
Theologica Xaveriana,A2,2020,01203649
Universitas Psychologica,C,2020,16579267
Cuadernos De Vivienda Y Urbanismo,C,2020,20272103
"Anuario Electrónico De Estudios En Comunicación Social ""Disertarciones""",C,2019,18569536
Territorios,C,2020,01238418
Fronteras De La Historia,C,2020,20274688
Revista Colombiana De Antropología,A2,2020,04866525
Ingeniería,B,2019,0121750X
Tabula Rasa,B,2020,17942489
Tabula Rasa,B,2019,17942489
"Aibi revista de investigación, administración e ingeniería",B,2019,2346030X
Zona Proxima,B,2020,21459444
Eidos,B,2019,20117477
Plumilla Educativa,C,2019,16574672
Ánfora,C,2019,01216538
Boletín Científico Del Museo De Historia Natural,A1,2020,01233068
Jurídicas,B,2019,17942918
Revista Luna Azul,B,2020,19092474
Kepes,A1,2019,17947111
Entre Ciencia E Ingenieria,C,2020,19098367
Ciencia Y Cuidado,C,2019,17949831
Ingenierias Usbmed,C,2020,20275846
Historia Y Memoria,C,2020,20275137
Apuntes Del Cenes,B,2019,01203053
Historia Y Memoria,C,2019,20275137
Ciencia En Desarrollo,C,2020,01217488
Historia Y Espacio,B,2019,01204661
Colombia Médica,B,2019,16579534
Praxis Filosófica,C,2019,01204688
Ingeniería Y Competitividad,C,2020,01233033
Duazary,C,2020,17945992
Civilizar,B,2020,16578953
Opinión Jurídica,C,2020,16922530
Anagramas : Rumbos Y Sentidos De La Comunicación,C,2019,16922522
Educacion Y Humanismo,B,2020,01242121
Íkala,B,2019,01233432
Uni-Pluriversidad,C,2020,16574249
Estudios Políticos,B,2019,01215167
Ecos De Economía,C,2019,16574206
Ingeniería Y Ciencia,B,2019,17949165
Ad-Minister Revista Escuela De Administración,B,2019,16920279
Revista Ces Psicología,B,2019,20113080
Verba Iuris,C,2019,01213474
Entramado,B,2020,19003803
Producción + Limpia,C,2020,19090455
Revista Colombiana De Ciencias Hortícolas,B,2019,20112173
Economicas Cuc,C,2020,01203932
Juridicas Cuc,C,2019,16923030
Semestre Económico,C,2019,01206346
Prospectiva,B,2019,16928261
Historia Caribe,C,2019,01228803
Colombia Internacional,A1,2020,01215612
Revista De Derecho Privado,B,2020,01234366
Revista Facultad De Ciencias Básicas,C,2019,19004699
Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,B,2020,16574702
Academia Y Virtualidad,C,2020,20110731
Academia Y Virtualidad,C,2019,20110731
Revista Historia Y Sociedad,C,2020,01218417
Revista De Salud Pública,C,2019,01240064
Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,C,2020,01200011
Revista Cuadernos De Economía,C,2020,01214772
Análisis Político,A2,2020,01214705
Investigaciones Andina,C,2019,01248146
"Gist, Education And Learning Research Journal",B,2020,16925777
Ingeniería Y Universidad,B,2020,01232126
Pedagogía Y Saberes,C,2020,01212494
Folios,B,2019,01234870
Suma Psicológica,B,2019,01214381
"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",B,2019,03703908
Revista Colombiana De Antropología,A2,2019,04866525
Diversitas : Perspectivas En Psicología,B,2019,17949998
Revista Interamericana De Investigación Educación Y Pedagogía,B,2019,1657107X
Diversitas : Perspectivas En Psicología,B,2020,17949998
Tecnura,B,2019,0123921X
Revista Colombiana De Psiquiatría,C,2019,00347450
How,C,2019,01205927
Revista Virtual Universidad Católica Del Norte,B,2020,01245821
Nova: Publicación Científica En Ciencias Médicas,B,2020,17942470
Nova: Publicación Científica En Ciencias Médicas,B,2019,17942470
Salud Uninorte,C,2020,20117531
Revista De Derecho,C,2019,01218697
Salud Uninorte,C,2019,20117531
Psicología Desde El Caribe,B,2020,20117485
Investigación & Desarrollo,C,2019,20117574
Biotecnología En El Sector Agropecuario Y Agroindustrial,B,2019,16923561
Eleuthera,C,2019,20114532
Entre Ciencia E Ingenieria,C,2019,19098367
Uis Ingenierías,B,2019,16574583
Revista Integración,C,2020,0120419X
Aquichan,C,2019,16575997
Palabra Clave,A2,2020,01228285
Franciscanum,C,2020,01201468
Revista De Investigacion Agraria Ambiental,C,2019,21456097
Praxis & Saber,C,2019,22160159
