grupo,categoria,Nivel_Academico,Titulo,Pais,ano,Idioma,Medio_divulgacion,Sitio_Web,Nombre_del_Orientado,Programa_Academico,Institucion,Autores
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Incidencia económica de las importaciones en la competitividad del sector textil de Medellín,Colombia,2020,Español,Otro,,Valentina Baena Henao,Administración Financiera,TECNOLOGICO DE ANTIOQUIA INSTITUCION UNIVERSITARIA,LUZ MERY ORTIZ SANCHEZ
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Creación de políticas y proceso idóneos de posicionamiento de créditos educativos y manejo de cartera en el instituto Colombia de educación para el trabajo INSET,Colombia,2020,Español,Papel,,"ELIANA ROCIO OSORIO POSADA, JUAN GUILLERMO VALENCIA, GEORGE JUAN DAVID MUÑOZ",Contaduría Publica,Universidad Católica del Norte,SOL BEATRIZ VELEZ ESCOBAR
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Doctorado,Jurado Evaluador Ética del profesional en contaduria publica,Venezuela,2018,Español,Papel,www.ula.ve,Fasutina Manrique,Doctorado en Ciencias Contables,Universidad de los Andes Venezuela,MARIA VICTORIA AGUDELO VARGAS
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,"Impactos de la información e indicadores financieros, por la convergencia de NIIF Plenas: Propiedad, Planta y Equipo",Colombia,2013,Español,Papel,,Jaime Alberto Guevara Sanabria,MBA,UNIVERSIDAD DE ANTIOQUIA,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Normalización de los Procesos Contables y Recursos Humanos del Restaurante Deli Loy,Colombia,2009,Español,Internet,,Sandra Sánchez Pérez - Juan Sebastián Arroyave López - Daniel Becerra Puerta,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Manejo de Insumos y Control Interno de Inventarios en el Área de Almacén de la Empresa Flores el Trigal Ltda.,Colombia,2009,Español,Internet,,Carmen Elena Vargas Arango - Claudia Marcela Agudelo Gómez,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Modelo de Control Interno para el Proceso de Inventarios de Todollantas Del Valle S.A.,Colombia,2008,Español,Internet,,,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Implementación de un Modelo de Balance Social para la Fundación Banco Arquidiocesano de Alimentos de Medellín,Colombia,2008,Español,Internet,,,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,La Comunicación Matemática Elemento Clave en la Resolución de Problemas,Colombia,2020,Español,Papel,,"Diana Sirley Castro García1, Jeicy Andrea Betancur López2  y María Elizabeth Muñoz López3",MAESTRIA EN EDUCACION,UNIVERSIDAD CATOLICA DE ORIENTE,HERNAN ANDRES  CARMONA GARZON
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,El concepto de acción y la formación del hombre político en Hannah Arendt,Colombia,2019,Español,Internet,,Chirstian David Rodríguez Aguilar,Filosofía,UNIVERSIDAD PONTIFICIA BOLIVARIANA,ANDRES FELIPE AGUDELO ZORRILLA
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,El silencio de la poesía. Las poéticas de Hugo Mujica y Gregorio Cuartas,Colombia,2019,Español,Papel,,Carlos Andrés Jaramillo,Filosofía,UNIVERSIDAD DE ANTIOQUIA,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,EL SENTIDO COMO ESTRUCTURA DEL SER HUMANO A PROPOSITO DE WITTGENTEIN Y GADAMER,Colombia,2017,Español,Papel,N/A,Carlos Saúl Rueda,Maestría en filosofía,UNIVERSIDAD PONTIFICIA BOLIVARIANA,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Estrategias Metodológicas: Filosofía para niños y taller lúdico,Colombia,2017,Español,Varios,//179.50.60.29/cgi-bin/wxis.exe/iah/scripts/,"Alzate Montoya, Maria Angélica",Licenciatura en Educación Preescolar,UNIVERSIDAD CATOLICA LUIS AMIGO,JONNY ALEXANDER GARCIA ECHEVERRI
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Heidegger: aproximación al concepto de verdad,Colombia,2013,Español,Papel,,,Filosofía,UNIVERSIDAD DE ANTIOQUIA,ANDRES ALFREDO CASTRILLON CASTRILLON
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,Verdad y democracia en Richard Rorty. El paso de la epistemología a la política como clave de lectura del neopragmatismo,Colombia,2013,Español,Otro,,Jesús David Girado Sierra,Maestría en filosofía,UNIVERSIDAD PONTIFICIA BOLIVARIANA,"DAVID ESTEBAN ZULUAGA MESA, JOSE OLIMPO SUAREZ MOLANO"
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,"Interacción comunicativa entre los usuarios, las publicaciones y los contenidos en las fanpage de Facebook de la Alcaldía de Medellín y las Alcaldías del Sur del Valle de Aburrá.",Colombia,2019,Español,Papel,//repository.ucatolicaluisamigo.edu.co/,Daniela Jaramillo Vasco y Vanessa Pajón Vélez,COMUNICACION SOCIAL,UNIVERSIDAD CATOLICA LUIS AMIGO,CARLOS ANDRES TREJOS GIL
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,"LA COMUNICACIÓN MÓVIL EN LA ERA DE LAS REDES SOCIALES Y EL VIDEO (Una herramienta de difusión de narrativas hipermedia para fomentar la participación, activación y difusión de contenidos)",Colombia,2018,Español,CD-ROM/DVD,,Jacqueline Gutiérrez Restrepo,Comunicación Audiovisual,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,MARCOS VEGA SENA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,FASHION FILM: RGB,Colombia,2018,Español,CD-ROM/DVD,,Duban Esteban Álvarez Valderrama,Comunicación Audiovisual,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,MARCOS VEGA SENA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,Categorías sintácticas finitas: una propuesta pedagógica orientada a fortalecer la competencia lingüística en los estudiantes del grado segundo de la Institución Educativa Rosalía Suárez del municipio de Medellín-Antioquia.,Colombia,2018,Español,CD-ROM/DVD,,María Constanza Rodríguez Restrepo,Educación,UNIVERSIDAD DE MEDELLIN,MARCOS VEGA SENA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,ESTADO DEL ARTE DE LA PRODUCCIÓN ACADÉMICA-INVESTIGATIVA EN MARKETING DIGITAL DESARROLLADA EN COLOMBIA Y LATINOAMÉRICA DURANTE EL PERIODO 2006-2016,España,2017,Español,Papel,,,Máster en Estrategia y Creatividad Digital,UNIVERSIDAD DE BARCELONA,PAOLO ANTONIO VILLALBA STORTI
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,EL REPOSICIONAMIENTO: Análisis conceptual y causal del fenómeno desde su origen hasta el (re)planteamiento actual.,España,2017,Español,Papel,,,Máster en Estrategia y Creatividad Digital,UNIVERSIDAD DE BARCELONA,PAOLO ANTONIO VILLALBA STORTI
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,"¿ De que manera la marca de cerveza Pilsen implementa el el engagement en su estrategia digital en redes sociales Facebook, Twitter y en su página principal, para lograr fidalización de marca en el consumidor?",Colombia,2017,Español,Papel,,Laura Cristina Henao Henao,Publicidad,UNIVERSIDAD CATOLICA LUIS AMIGO,CLAUDIA INES VELEZ OCHOA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,"Alabaos, bullerengue y sextetos como formas de conservación de la tradición oral afrocolombiana en un grupo de personas del municipio de Turbo",Colombia,2017,Español,Papel,,Liseth Andrea Zúñiga Batista,Periodismo,UNIVERSIDAD DE ANTIOQUIA,MARCOS VEGA SENA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Aporte del metal en la construcción de identidad cultural de Andes en un grupo de personas a partir de 1990,Colombia,2017,Español,Papel,comunicaciones.udea.edu.co/,Juan Daniel Rubiano Restrepo,Comunicación Social Periodismo,UNIVERSIDAD DE ANTIOQUIA,MARCOS VEGA SENA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Influencia de la música reggae panameña en la inclusión de nuevas palabras en el dialecto de un grupo de jóvenes del barrio Obrero de Apartadó.,Colombia,2017,Español,Papel,comunicaciones.udea.edu.co/,Julián Francisco Villa Mosquera,Comunicación Social Periodismo,UNIVERSIDAD DE ANTIOQUIA,MARCOS VEGA SENA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Las mujeres en el fandango,Colombia,2017,Español,Papel,,Keyla Margarita Camargo Viloria,Pregrado de Periodismo,UNIVERSIDAD DE ANTIOQUIA,MARCOS VEGA SENA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Doctorado,La empatía teratológica en la obra de Patricia Piccinini,Colombia,2016,Español,Papel,,Rafael Mauricio París Restrepo,DOCTORADO EN ARTES,UNIVERSIDAD DE ANTIOQUIA,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,Construcciones simbólicas de los consumidores sobre eatertainment y restaurantes temáticos en la ciudad de Medellín.,Colombia,2016,Español,Papel,,Melissa Cardona Sánchez,Comportamiento del consumidor,UNIVERSIDAD PONTIFICIA BOLIVARIANA,"CLAUDIA INES VELEZ OCHOA, OMAR MUNOZ SANCHEZ"
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Curso de perfeccionamiento/especialización,Somos Sura: Intranet que gestiona el conocimiento de Suramericana,Colombia,2016,Español,Internet,funlam.edu.co/biblioteca,Catalina Pérez Galeano,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Curso de perfeccionamiento/especialización,Responsabilidad social en la Fundación Universitaria Luis Amigo,Colombia,2016,Español,Internet,funlam.edu.co/biblioteca,Carolina Carvajal Castrillón,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Curso de perfeccionamiento/especialización,"Facebook como medio de promoción y convocatoria al programa de participación ciudadana de la Alcaldía de Medellín, entre la población joven de la comunica 10 ¿ La Candelaria",Colombia,2016,Español,Internet,Funlam.edu.co/biblioteca,Alexi de Jesús Mendoza Granados,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Curso de perfeccionamiento/especialización,Incidencia del sistema de gestión administrativo de la Fundación Universitaria San Martín (FUSM) en su crisis actual y su relación con los públicos internos de la institución,Colombia,2016,Español,Internet,Funlam.edu.co/biblioteca,Catalina Torres Trejos,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Curso de perfeccionamiento/especialización,Posicionamiento del canal TVN como una empresa socialmente responsable con base en las comunicaciones y las Relaciones Públicas,Colombia,2016,Español,Internet,funlam.edu.co/biblioteca,Alba Maritza Moreno Duque,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,LA INTERATIVIDAD COMUNICATIVA ENTRE EL USUARIO T EL SITIO WEB EL PERIÓDICO EL TIEMPO,Colombia,2016,Español,CD-ROM/DVD,funlam.edu.co/bibliotecam,ANDERSON MONTOYA ROMÁN ¿ JUAN DAVID ALCARAZ SARRAZOLA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Estrategias de Relaciones Públicas para centros de formación,Colombia,2016,Español,Internet,Funlam.edu.co/biblioteca,Lenny Parra Manrique,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,"Consumo de la red social Facebook por los estudiantes universitarios: Caso Universidad Santo Tomás, Sede Medellín",Colombia,2016,Español,Internet,funlam.edu.co/biblioteca,Luisa Fernanda Manchego Larrea,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Curso de perfeccionamiento/especialización,Diagnóstico del relacionamiento de la marca ¿Colectivo Siclas¿ con sus diferentes públicos,Colombia,2016,Español,Papel,Funlam.edu.co/biblioteca,Juan Esteban Ramírez Castaño,Especialización Relaciones Públicas y Responsabilidad Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,¿Imagen de Medellín. Mercadeo y percepciones en el caso de la ciudad más innovadora¿,Colombia,2015,Español,Varios,,Viviana Velásquez Jaramillo,Maestría en Comunicación,UNIVERSIDAD DE ANTIOQUIA,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,ESTUDIO DE TIC EN LA INSTITUCIÓN EDUCATIVA FÉ Y ALEGRÍA,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,"NATACHA ANDREA ARREDONDO -  ALEXANDRA MUÑOZ GARCÍA",Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,ESTRATEGIAS DE COMUNICACIÓN DIGITAL EN PYMES,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,ALEXANDRA BURBANO ABOSAID,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,ESTRATEGIAS COMUNICATIVAS PARA EL USO DE TIC EN INSTITUCIONES DE EDUACIÓN PRIVADAS Y PÚBLICAS,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/bibliotecam,MARLYN JULIETH GÓMEZ VARGAS ¿ JESSICA LOPERA GARCÍA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,MODELOS ESTÉTICOS COMO IMAGINARIO SOCIAL,Colombia,2015,Español,CD-ROM/DVD,Funlam.edu.co/biblioteca,DANIELA SÁNCHEZ ÁLVAREZ ¿ JISELL QUINTERO CARVAJAL,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,APROPIACIÓN CIUDADANA DE ESPACIOS. ESTUDIO DE CASO: CARLOS E. RESTREPO	ESTE,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,BÁN MARTÍNEZ HOYOS ¿ CATALINA JARAMILLO MEJÍA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,ESTRATEGIAS EDUCOMUNICATIVAS USADAS EN LAS CARICATURAS POLÍTICAS DE BETTO Y MICO,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,ANDRÉS MAURICIO GARCÍA PATIÑO,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,INFLUENCIA DE LAS NARCOSERIES EN LAS MUJERES PARA LA TRANSFORMACIÓN DEL CUERPO CON FINES ESTÉTICOS	ALEJANDRA MORENO RAVE ¿ STEPHANIA CESPEDES AGUDELO,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,ALEJANDRA MORENO RAVE ¿ STEPHANIA CESPEDES AGUDELO,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,REALITY SHOW COMO CONSTRUCTORES DE IMAGINARIOS SOCIALES,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,LAURA ARBOLEDA BEDOYA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,TWITTER COMO ESCENARIO COMUNICATIVO ENTRE LAS ORGANIZACIONES PERIODISTICAS Y SUS RECEPTORES,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,LIZETH JOHANA CARDONA ¿ PAULA ANDREA CANO,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,PROCESO COMUNICATIVO EN LA CRISIS DE LA SALUD PÚBLICA,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,LUIS FERNANDO NARANJO ¿ JUAN MANUEL ROBLEDO ÚSUGA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,PERCEPCIÓN DE LA FOTOGRAFÍA ERÓTICA DE LA REVISTA SOHO,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,LUIS ENRIQUE CASTRO CASTRO,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,LAS PRÁCTICAS DISCURSIVAS GENERADAS A TRAVÉS DEL REGGEATON,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,KATHERINE TOBÓN GIRALDO ¿ ALEXANDRA ZAPATA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,COMPETENCIAS PARA EL USO DE TIC EN PROCESOS EDUCATIVOS DE LOS DOCENTES. ESTUDIO DE CASO,Colombia,2015,Español,Papel,funlam.edu.co/biblioteca,YULY ANDREA DÍAZ DUQUE,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,ESTRATEGIAS DE COMUNICACIÓN UTILIZADAS EN LOS PROCESOS ARTÍSTICOS DE LA CORPORACIÓN CULTURAL NUESTRA GENTE,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,SINDY ESTEFANÍA GALEANO SALÁZAR ¿ JOHANA ENCISO GUTÍERREZ,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,ESTRATEGIAS DE COMUNICACIÓN UTILIZADAS EN LOS PROCESOS ARTÍSTICOS DE LA CORPORACIÓN CULTURAL NUESTRA GENTE,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,SINDY ESTEFANÍA GALEANO SALÁZAR ¿ JOHANA ENCISO GUTÍERREZ,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,COLOMBIAMODA. ESTUDIO DE CASO DE PROCESOS COMUNICATIVOS,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,DANIEL GRAJALES TABARES,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,COLOMBIAMODA. ESTUDIO DE CASO DE PROCESOS COMUNICATIVOS,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,DANIEL GRAJALES TABARES,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,DISCURSO PERIODÍSTICO Y FÚTBOL,Colombia,2015,Español,CD-ROM/DVD,Funlam.edu.co/biblioteca,JHON ALEXANDER ACEVEDO ¿ DANIEL HENAO GIRALDO,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,LAS TIC COMO HERRAMIENTAS PEDAGÓGICAS EN EL COLEGIO SAGRADO CORAZÓN DE MARÍA,Colombia,2015,Español,CD-ROM/DVD,Funlam.edu.co/biblioteca,MARIANA ARBOLEDA OCHOA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,PRÁCTICAS DISCURSIVAS GENERADAS POR EL REGGETON EN JÓVENES DE LA CIUDAD,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,ALEXANDRA ZAPATA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,RESPONSABILIDAD SOCIAL COMO ESTRÁTEGIA GENERADORA DE IMAGEN CORPORATIVA DE EEPP,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/bibliotecaa,KELLY VANESA URREGO MUÑOZ ¿ DANIELA HINCAPIÉ BOHORQUEZ,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,CARACTERÍSTICAS GENERALES Y PRAGMÁTICAS DE LOS ARTÍCULOS DE DIVULGACIÓN CIENTIFÍCA EN EL COLOMBIANO Y EL MUNDO,Colombia,2015,Español,CD-ROM/DVD,Funlam.edu.co/biblioteca,MARIANA CALDERÓN HERNÁNDEZ,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,EXPRESIONES NARRADAS VISUALMENTE EN LA SERIE DE PINTURAS ABU GHRAIB DE FERNANDO BOTERO,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,JORGE LUIS RUIZ RODRÍGUEZ,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,TRANSFORMACIÓN EN LOS IMAGINARIOS SOCIALES DESDE LAS ESTÉTICAS DEL VESTIR DE LAS MUJERES A TRAVÉS DE LOS CONTENIDOS TEMÁTICOS DE COLOMBIAMODA,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,SURANY ANDREA MUÑOZ MARULANDA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,CARACTERISTICAS DE LAS NARRATIVAS AUDIOVISUALES EN LAS PRODUCCIONES DE FICCIÓN QUE SE PRESENTAN EN FESTIVALES DE CINE VIRTUALES: ESTUDIO DE CASO FESTIVAL CORTOPUNZANTE,Colombia,2015,Español,CD-ROM/DVD,Funlam.edu.co/biblioteca,JOHN ALEXANDER MUÑOZ CORTÉS,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,ESTUDIO DE CASO: PROCESO COMUNICATIVO ORAL QUE SE PRODUCE ENTRE LOS EMPLEADOS DEL TRAPICHE PANELERO MAVEICO,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,SANDRA MARCELA ARBELÁEZ GIRALDO ¿ STEPHANÍA VÁSQUEZ GONZÁLEZ,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,INTERACCIONES COMUNICATIVS ENTRE LOS EDUCADORES Y LOS NIÑOS ASISTENTES AL PROGRAMA ¿CREATIVOS MAMM¿,Colombia,2015,Español,CD-ROM/DVD,Funlam.edu.co/biblioteca,SEBASTIÁN SALÁZAR AMAYA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Curso de perfeccionamiento/especialización,¿FORTALECIMIENTO DEL SENTIDO DE PERTENENCIA COMO MANIFESTACIÓN DE LA CULTURA ORGANIZACIONAL EN EL ÁREA ADMINISTRATIVA DEL INSTITUTO METROPOLITANO DE EDUCACIÓN - IME.¿,Colombia,2015,Español,Papel,,,Especialización en Gerencia de la Comunicación,UNIVERSIDAD PONTIFICIA BOLIVARIANA,GABRIEL JAIME LOTERO ECHEVERRI
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,INTERACCIONES COMUNICATIVAS ENTRE LA FUNDACIÓN FORJANDO FUTUROS Y VÍCTIMAS DE DESPLAZAMIENTO FORZADO,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,LAURA ECHEVERRY CUARTAS ¿ ELIZABETH HERRERA MARTÍNEZ,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
URBANITAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,EL CINE COMO ESTRÁTEGIA PARA LA ESTIMULACIÓN DE LAS MANIFESTACIONES DEL HABLA,Colombia,2015,Español,CD-ROM/DVD,funlam.edu.co/biblioteca,MELISSA MÁRQUEZ ZAPATA,Comunicación Social,UNIVERSIDAD CATOLICA LUIS AMIGO,LINA MARIA GONZALEZ CORREA
